id,name,force,level,mechanic,equipment,category,primary_muscles,secondary_muscles,instructions
wger_57,Bear Walk 2,,,,none (bodyweight exercise),Chest,Shoulders|Calves|Chest|Abs|Serratus anterior|Soleus|Triceps,Glutes|Lats|Obliquus externus abdominis|Quads|Trapezius,"-Rest your weight on your palms and the balls of your feet, not dissimilar to normal pushup position -Move by stepping with your R palm and L foot, then your L palm and R foot.&nbsp; Basically, walk like a lumbering bear. -Move as fast as you can.&nbsp; Measure your reps/sets in either distance (i.e. 40 yards) or time (i.e. 45 seconds) -Works your Pecs, Deltoids, Triceps, Traps, Lats, Abs and Lower Back, Hip Flexors, Quads, Glutes and Calves"
wger_822,Cable Rear Delt Fly,,,,,Shoulders,Shoulders|Trapezius,Triceps,"The reverse cable fly, also known as the cable rear delt fly, is a deltoid muscle strengthening and definition exercise. It’s one of the best isolation exercises for your back and posterior deltoid.This workout targets your posterior (back) deltoids while using a range of upper body muscles. Adjust the weight and the pulleys to the right height. You should be able to see the pulleys because they should be above your head. With your right hand, grab the left pulley, and with your left hand, grab the right pulley, crossing them in front of you. This is where you’ll begin your journey. Start the movement by moving your arms back and forth while keeping your arms straight. Pause at the finish of the move for a brief moment before returning the handles to their starting positions."
wger_31,Axe Hold,,,,Dumbbell,Arms,,,Grab dumbbells and extend arms to side and hold as long as you can
wger_805,Tricep Pushdown on Cable,,,,,Arms,Triceps,,"The cable rope push-down is a popular exercise targeting the triceps muscles. It's easy to learn and perform, making it a favorite for everyone from beginners to advanced lifters. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an upper-body or arm-focused workout."
wger_981,Step-ups,,,,Bench,Legs,,,Starting position: Stand facing a chair. Steps: Step up onto the chair. Step off the chair. Repeat.
wger_980,commando pull-ups,,,,Pull-up bar,Abs,Shoulders|Biceps|Lats|Trapezius,,"variation of the pull-up exercise, it is performed with a grip of one hand supine and one hand prone,&nbsp;do not twist the torso to get back to the front, the head passes once to one side, once to the other."
wger_1022,Single Arm Plank to Row,,,,Kettlebell,Back,Shoulders|Biceps|Brachialis|Lats|Obliquus externus abdominis|Abs|Serratus anterior,,"Start position as row, extend to plank and back. Finish with row and repeat"
wger_820,Fingerboard 20 mm edge,,,,,Arms,,,Hang for 10 seconds on a fingerboard with a 20 mm edge
wger_56,Abdominal Stabilization,,,,Gym mat,Abs,Abs,Obliquus externus abdominis,
wger_828,Incline Bench Reverse Fly - Hello,,,,Dumbbell,Back,Shoulders|Trapezius,,"The incline dumbbell reverse fly is an upper-body exercise targeting the posterior or rear deltoids, as well as the postural muscles of the upper back. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more."
